{'loss': 0.6331, 'learning_rate': 1.5252416756176155e-06, 'epoch': 0.03}
{'loss': 0.7496, 'learning_rate': 1.5467239527389905e-06, 'epoch': 0.03}
{'loss': 0.6865, 'learning_rate': 1.5682062298603654e-06, 'epoch': 0.03}
{'loss': 0.5655, 'learning_rate': 1.5896885069817402e-06, 'epoch': 0.03}
{'loss': 0.6552, 'learning_rate': 1.611170784103115e-06, 'epoch': 0.03}
{'loss': 0.5584, 'learning_rate': 1.6326530612244897e-06, 'epoch': 0.03}
{'loss': 0.5932, 'learning_rate': 1.6541353383458648e-06, 'epoch': 0.03}
{'loss': 0.6303, 'learning_rate': 1.6756176154672396e-06, 'epoch': 0.03}
{'loss': 0.6952, 'learning_rate': 1.6970998925886145e-06, 'epoch': 0.03}
{'loss': 0.51, 'learning_rate': 1.7185821697099893e-06, 'epoch': 0.03}
{'loss': 0.701, 'learning_rate': 1.7400644468313644e-06, 'epoch': 0.03}
{'loss': 0.5803, 'learning_rate': 1.7615467239527392e-06, 'epoch': 0.04}
{'loss': 0.5791, 'learning_rate': 1.7830290010741139e-06, 'epoch': 0.04}
{'loss': 0.711, 'learning_rate': 1.8045112781954887e-06, 'epoch': 0.04}
{'loss': 0.5939, 'learning_rate': 1.8259935553168636e-06, 'epoch': 0.04}
{'loss': 0.8133, 'learning_rate': 1.8474758324382386e-06, 'epoch': 0.04}
{'loss': 0.7605, 'learning_rate': 1.8689581095596135e-06, 'epoch': 0.04}
{'loss': 0.6745, 'learning_rate': 1.8904403866809883e-06, 'epoch': 0.04}
{'loss': 0.6931, 'learning_rate': 1.9119226638023634e-06, 'epoch': 0.04}
{'loss': 0.4794, 'learning_rate': 1.9334049409237383e-06, 'epoch': 0.04}
{'loss': 0.6236, 'learning_rate': 1.9548872180451127e-06, 'epoch': 0.04}
{'loss': 0.5692, 'learning_rate': 1.9763694951664875e-06, 'epoch': 0.04}
{'loss': 0.4567, 'learning_rate': 1.997851772287863e-06, 'epoch': 0.04}
{'loss': 0.6782, 'learning_rate': 2.0193340494092377e-06, 'epoch': 0.04}
{'loss': 0.5555, 'learning_rate': 2.0408163265306125e-06, 'epoch': 0.04}
{'loss': 0.5808, 'learning_rate': 2.0622986036519874e-06, 'epoch': 0.04}
{'loss': 0.6212, 'learning_rate': 2.083780880773362e-06, 'epoch': 0.04}
{'loss': 0.5338, 'learning_rate': 2.105263157894737e-06, 'epoch': 0.04}
{'loss': 0.6803, 'learning_rate': 2.126745435016112e-06, 'epoch': 0.04}
{'loss': 0.5264, 'learning_rate': 2.1482277121374868e-06, 'epoch': 0.04}
Step 200 - Original loss: 0.3074, Custom loss: 0.3086, Total loss: 0.6160
Step 200 - Original loss: 0.2946, Custom loss: 0.1406, Total loss: 0.4352
{'loss': 0.4998, 'learning_rate': 2.1697099892588616e-06, 'epoch': 0.04}
{'loss': 0.5652, 'learning_rate': 2.1911922663802365e-06, 'epoch': 0.04}
