{'loss': 0.5816, 'learning_rate': 1.4393125671321163e-06, 'epoch': 0.03}
{'loss': 0.4796, 'learning_rate': 1.4607948442534911e-06, 'epoch': 0.03}
{'loss': 0.4947, 'learning_rate': 1.4822771213748658e-06, 'epoch': 0.03}
{'loss': 0.5029, 'learning_rate': 1.5037593984962406e-06, 'epoch': 0.03}
{'loss': 0.4656, 'learning_rate': 1.5252416756176155e-06, 'epoch': 0.03}
{'loss': 0.4785, 'learning_rate': 1.5467239527389905e-06, 'epoch': 0.03}
{'loss': 0.5713, 'learning_rate': 1.5682062298603654e-06, 'epoch': 0.03}
{'loss': 0.3861, 'learning_rate': 1.5896885069817402e-06, 'epoch': 0.03}
{'loss': 0.4686, 'learning_rate': 1.611170784103115e-06, 'epoch': 0.03}
Step 150 - Original loss: 0.3200, KL loss: 0.2119, MSE loss: 0.0601, Total loss: 0.4560
Step 150 - Original loss: 0.3876, KL loss: 0.1426, MSE loss: 0.0413, Total loss: 0.4795
{'loss': 0.487, 'learning_rate': 1.6326530612244897e-06, 'epoch': 0.03}
{'loss': 0.4245, 'learning_rate': 1.6541353383458648e-06, 'epoch': 0.03}
{'loss': 0.4819, 'learning_rate': 1.6756176154672396e-06, 'epoch': 0.03}
{'loss': 0.4314, 'learning_rate': 1.6970998925886145e-06, 'epoch': 0.03}
{'loss': 0.4811, 'learning_rate': 1.7185821697099893e-06, 'epoch': 0.03}
{'loss': 0.4875, 'learning_rate': 1.7400644468313644e-06, 'epoch': 0.03}
{'loss': 0.5014, 'learning_rate': 1.7615467239527392e-06, 'epoch': 0.04}
{'loss': 0.4144, 'learning_rate': 1.7830290010741139e-06, 'epoch': 0.04}
{'loss': 0.5145, 'learning_rate': 1.8045112781954887e-06, 'epoch': 0.04}
{'loss': 0.4907, 'learning_rate': 1.8259935553168636e-06, 'epoch': 0.04}
{'loss': 0.5003, 'learning_rate': 1.8474758324382386e-06, 'epoch': 0.04}
{'loss': 0.5183, 'learning_rate': 1.8689581095596135e-06, 'epoch': 0.04}
{'loss': 0.4744, 'learning_rate': 1.8904403866809883e-06, 'epoch': 0.04}
{'loss': 0.4634, 'learning_rate': 1.9119226638023634e-06, 'epoch': 0.04}
{'loss': 0.3871, 'learning_rate': 1.9334049409237383e-06, 'epoch': 0.04}
{'loss': 0.4688, 'learning_rate': 1.9548872180451127e-06, 'epoch': 0.04}
{'loss': 0.4411, 'learning_rate': 1.9763694951664875e-06, 'epoch': 0.04}
{'loss': 0.3807, 'learning_rate': 1.997851772287863e-06, 'epoch': 0.04}
{'loss': 0.4954, 'learning_rate': 2.0193340494092377e-06, 'epoch': 0.04}
{'loss': 0.4603, 'learning_rate': 2.0408163265306125e-06, 'epoch': 0.04}
{'loss': 0.4647, 'learning_rate': 2.0622986036519874e-06, 'epoch': 0.04}
{'loss': 0.5029, 'learning_rate': 2.083780880773362e-06, 'epoch': 0.04}
{'loss': 0.5039, 'learning_rate': 2.105263157894737e-06, 'epoch': 0.04}
{'loss': 0.5065, 'learning_rate': 2.126745435016112e-06, 'epoch': 0.04}
{'loss': 0.4555, 'learning_rate': 2.1482277121374868e-06, 'epoch': 0.04}
Step 200 - Original loss: 0.3987, KL loss: 0.0947, MSE loss: 0.0182, Total loss: 0.4552
Step 200 - Original loss: 0.3516, KL loss: 0.1689, MSE loss: 0.0503, Total loss: 0.4612
{'loss': 0.4341, 'learning_rate': 2.1697099892588616e-06, 'epoch': 0.04}
{'loss': 0.4433, 'learning_rate': 2.1911922663802365e-06, 'epoch': 0.04}
{'loss': 0.458, 'learning_rate': 2.2126745435016113e-06, 'epoch': 0.04}
{'loss': 0.4087, 'learning_rate': 2.234156820622986e-06, 'epoch': 0.04}
{'loss': 0.528, 'learning_rate': 2.255639097744361e-06, 'epoch': 0.05}
{'loss': 0.5231, 'learning_rate': 2.277121374865736e-06, 'epoch': 0.05}
{'loss': 0.472, 'learning_rate': 2.2986036519871107e-06, 'epoch': 0.05}
{'loss': 0.4733, 'learning_rate': 2.3200859291084856e-06, 'epoch': 0.05}
{'loss': 0.4577, 'learning_rate': 2.3415682062298604e-06, 'epoch': 0.05}
{'loss': 0.478, 'learning_rate': 2.3630504833512357e-06, 'epoch': 0.05}
{'loss': 0.4235, 'learning_rate': 2.3845327604726105e-06, 'epoch': 0.05}
{'loss': 0.4401, 'learning_rate': 2.406015037593985e-06, 'epoch': 0.05}
{'loss': 0.3657, 'learning_rate': 2.42749731471536e-06, 'epoch': 0.05}
{'loss': 0.4974, 'learning_rate': 2.4489795918367347e-06, 'epoch': 0.05}
{'loss': 0.4153, 'learning_rate': 2.47046186895811e-06, 'epoch': 0.05}
{'loss': 0.5114, 'learning_rate': 2.491944146079485e-06, 'epoch': 0.05}
{'loss': 0.5294, 'learning_rate': 2.5134264232008592e-06, 'epoch': 0.05}
{'loss': 0.4012, 'learning_rate': 2.5349087003222345e-06, 'epoch': 0.05}
{'loss': 0.3863, 'learning_rate': 2.556390977443609e-06, 'epoch': 0.05}
{'loss': 0.4234, 'learning_rate': 2.577873254564984e-06, 'epoch': 0.05}
{'loss': 0.4258, 'learning_rate': 2.599355531686359e-06, 'epoch': 0.05}
{'loss': 0.4414, 'learning_rate': 2.620837808807734e-06, 'epoch': 0.05}
{'loss': 0.4505, 'learning_rate': 2.6423200859291087e-06, 'epoch': 0.05}
{'loss': 0.4543, 'learning_rate': 2.663802363050483e-06, 'epoch': 0.05}
{'loss': 0.4324, 'learning_rate': 2.6852846401718585e-06, 'epoch': 0.05}
Step 250 - Original loss: 0.2054, KL loss: 0.1943, MSE loss: 0.0518, Total loss: 0.3284
Step 250 - Original loss: 0.3289, KL loss: 0.1123, MSE loss: 0.0393, Total loss: 0.4047
{'loss': 0.3343, 'learning_rate': 2.7067669172932333e-06, 'epoch': 0.05}
