{'loss': 0.6591, 'learning_rate': 1.4393125671321163e-06, 'epoch': 0.03}
{'loss': 0.6203, 'learning_rate': 1.4607948442534911e-06, 'epoch': 0.03}
{'loss': 0.6418, 'learning_rate': 1.4822771213748658e-06, 'epoch': 0.03}
{'loss': 0.6319, 'learning_rate': 1.5037593984962406e-06, 'epoch': 0.03}
{'loss': 0.5376, 'learning_rate': 1.5252416756176155e-06, 'epoch': 0.03}
{'loss': 0.6264, 'learning_rate': 1.5467239527389905e-06, 'epoch': 0.03}
{'loss': 0.5896, 'learning_rate': 1.5682062298603654e-06, 'epoch': 0.03}
{'loss': 0.4759, 'learning_rate': 1.5896885069817402e-06, 'epoch': 0.03}
{'loss': 0.5358, 'learning_rate': 1.611170784103115e-06, 'epoch': 0.03}
Step 150 - Original loss: 0.2359, KL loss: 0.3164, MSE loss: 0.0432, Total loss: 0.4157
Step 150 - Original loss: 0.2250, KL loss: 0.2441, MSE loss: 0.0383, Total loss: 0.3662
{'loss': 0.4651, 'learning_rate': 1.6326530612244897e-06, 'epoch': 0.03}
{'loss': 0.4908, 'learning_rate': 1.6541353383458648e-06, 'epoch': 0.03}
{'loss': 0.5413, 'learning_rate': 1.6756176154672396e-06, 'epoch': 0.03}
{'loss': 0.5918, 'learning_rate': 1.6970998925886145e-06, 'epoch': 0.03}
{'loss': 0.4318, 'learning_rate': 1.7185821697099893e-06, 'epoch': 0.03}
{'loss': 0.6063, 'learning_rate': 1.7400644468313644e-06, 'epoch': 0.03}
{'loss': 0.501, 'learning_rate': 1.7615467239527392e-06, 'epoch': 0.04}
{'loss': 0.5008, 'learning_rate': 1.7830290010741139e-06, 'epoch': 0.04}
{'loss': 0.617, 'learning_rate': 1.8045112781954887e-06, 'epoch': 0.04}
{'loss': 0.5237, 'learning_rate': 1.8259935553168636e-06, 'epoch': 0.04}
{'loss': 0.6944, 'learning_rate': 1.8474758324382386e-06, 'epoch': 0.04}
{'loss': 0.6693, 'learning_rate': 1.8689581095596135e-06, 'epoch': 0.04}
{'loss': 0.5815, 'learning_rate': 1.8904403866809883e-06, 'epoch': 0.04}
{'loss': 0.6128, 'learning_rate': 1.9119226638023634e-06, 'epoch': 0.04}
{'loss': 0.4185, 'learning_rate': 1.9334049409237383e-06, 'epoch': 0.04}
{'loss': 0.5541, 'learning_rate': 1.9548872180451127e-06, 'epoch': 0.04}
{'loss': 0.5009, 'learning_rate': 1.9763694951664875e-06, 'epoch': 0.04}
{'loss': 0.387, 'learning_rate': 1.997851772287863e-06, 'epoch': 0.04}
{'loss': 0.6124, 'learning_rate': 2.0193340494092377e-06, 'epoch': 0.04}
{'loss': 0.4864, 'learning_rate': 2.0408163265306125e-06, 'epoch': 0.04}
{'loss': 0.4939, 'learning_rate': 2.0622986036519874e-06, 'epoch': 0.04}
{'loss': 0.5337, 'learning_rate': 2.083780880773362e-06, 'epoch': 0.04}
{'loss': 0.4698, 'learning_rate': 2.105263157894737e-06, 'epoch': 0.04}
{'loss': 0.592, 'learning_rate': 2.126745435016112e-06, 'epoch': 0.04}
{'loss': 0.4736, 'learning_rate': 2.1482277121374868e-06, 'epoch': 0.04}
Step 200 - Original loss: 0.3510, KL loss: 0.3457, MSE loss: 0.1040, Total loss: 0.5758
Step 200 - Original loss: 0.2901, KL loss: 0.1484, MSE loss: 0.0339, Total loss: 0.3813
{'loss': 0.4298, 'learning_rate': 2.1697099892588616e-06, 'epoch': 0.04}
{'loss': 0.4928, 'learning_rate': 2.1911922663802365e-06, 'epoch': 0.04}
{'loss': 0.5179, 'learning_rate': 2.2126745435016113e-06, 'epoch': 0.04}
{'loss': 0.4209, 'learning_rate': 2.234156820622986e-06, 'epoch': 0.04}
{'loss': 0.5862, 'learning_rate': 2.255639097744361e-06, 'epoch': 0.05}
{'loss': 0.5519, 'learning_rate': 2.277121374865736e-06, 'epoch': 0.05}
{'loss': 0.5278, 'learning_rate': 2.2986036519871107e-06, 'epoch': 0.05}
{'loss': 0.4692, 'learning_rate': 2.3200859291084856e-06, 'epoch': 0.05}
{'loss': 0.4804, 'learning_rate': 2.3415682062298604e-06, 'epoch': 0.05}
{'loss': 0.4884, 'learning_rate': 2.3630504833512357e-06, 'epoch': 0.05}
{'loss': 0.474, 'learning_rate': 2.3845327604726105e-06, 'epoch': 0.05}
{'loss': 0.4719, 'learning_rate': 2.406015037593985e-06, 'epoch': 0.05}
{'loss': 0.4003, 'learning_rate': 2.42749731471536e-06, 'epoch': 0.05}
{'loss': 0.5155, 'learning_rate': 2.4489795918367347e-06, 'epoch': 0.05}
{'loss': 0.484, 'learning_rate': 2.47046186895811e-06, 'epoch': 0.05}
{'loss': 0.5361, 'learning_rate': 2.491944146079485e-06, 'epoch': 0.05}
{'loss': 0.6105, 'learning_rate': 2.5134264232008592e-06, 'epoch': 0.05}
{'loss': 0.4198, 'learning_rate': 2.5349087003222345e-06, 'epoch': 0.05}
{'loss': 0.4509, 'learning_rate': 2.556390977443609e-06, 'epoch': 0.05}
{'loss': 0.4401, 'learning_rate': 2.577873254564984e-06, 'epoch': 0.05}
{'loss': 0.4483, 'learning_rate': 2.599355531686359e-06, 'epoch': 0.05}
