W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
G-Retriever
start load args ...
end load args!
start seed everything...
end seed everything!
Namespace(model_name='graph_llm', project='project_g_retriever', seed=0, dataset='ppi5k', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='True', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=2096, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0)
start load dataset...
end load dataset!
start load model...
Loading LLAMA
Freezing LLAMA!
Finish loading LLAMA!
trainable params: 31485952 || all params: 6769901568 || trainable%: 0.4650872938659542
start training...
Lr: 6.968155529231413e-10, Accum Loss: 0.7522855401039124
Lr: 2.090446658769424e-09, Accum Loss: 0.6280303299427032
Lr: 3.4840777646157065e-09, Accum Loss: 0.8368465900421143
Lr: 4.877708870461989e-09, Accum Loss: 0.5205284506082535
Lr: 6.271339976308271e-09, Accum Loss: 0.7858051955699921
Lr: 7.664971082154555e-09, Accum Loss: 0.6507629752159119
Lr: 9.058602188000836e-09, Accum Loss: 0.6758966147899628
Lr: 1.045223329384712e-08, Accum Loss: 0.5559801161289215
Lr: 1.1845864399693403e-08, Accum Loss: 0.6119150966405869
Lr: 1.3239495505539684e-08, Accum Loss: 0.6302521228790283
Lr: 1.4633126611385967e-08, Accum Loss: 0.8451056778430939
Lr: 1.602675771723225e-08, Accum Loss: 0.5837345868349075
Lr: 1.7420388823078532e-08, Accum Loss: 0.8260468244552612
Lr: 1.8814019928924816e-08, Accum Loss: 0.783682644367218
Lr: 2.02076510347711e-08, Accum Loss: 0.8148329555988312
Lr: 2.160128214061738e-08, Accum Loss: 0.6269923150539398
Lr: 2.2994913246463662e-08, Accum Loss: 0.6356486678123474
Lr: 2.4388544352309945e-08, Accum Loss: 0.7392191290855408
Lr: 2.578217545815623e-08, Accum Loss: 0.5962678492069244
Lr: 2.7175806564002512e-08, Accum Loss: 0.6994970738887787
Lr: 2.8569437669848792e-08, Accum Loss: 0.6632200181484222
Lr: 2.9963068775695075e-08, Accum Loss: 0.8288876116275787
Lr: 3.1356699881541355e-08, Accum Loss: 0.9069203734397888
Lr: 3.275033098738764e-08, Accum Loss: 0.6326075494289398
Lr: 3.414396209323392e-08, Accum Loss: 0.6474021673202515
Lr: 3.553759319908021e-08, Accum Loss: 0.721170961856842
Lr: 3.693122430492649e-08, Accum Loss: 0.8458294570446014
Lr: 3.832485541077277e-08, Accum Loss: 0.723351776599884
Lr: 3.9718486516619054e-08, Accum Loss: 0.6346635818481445
Lr: 4.1112117622465334e-08, Accum Loss: 0.5965357422828674
Lr: 4.250574872831162e-08, Accum Loss: 0.7692835927009583
Lr: 4.38993798341579e-08, Accum Loss: 0.6928129196166992
Lr: 4.529301094000418e-08, Accum Loss: 0.7545311748981476
Lr: 4.668664204585047e-08, Accum Loss: 0.8280170857906342
Lr: 4.808027315169675e-08, Accum Loss: 0.601974830031395
Lr: 4.9473904257543034e-08, Accum Loss: 0.791389673948288
Lr: 5.0867535363389314e-08, Accum Loss: 0.7415100038051605
Lr: 5.2261166469235594e-08, Accum Loss: 0.66853067278862
Lr: 5.365479757508188e-08, Accum Loss: 0.5973325371742249
Lr: 5.504842868092816e-08, Accum Loss: 0.7890949547290802
Lr: 5.644205978677445e-08, Accum Loss: 0.7199372053146362
Lr: 5.7835690892620727e-08, Accum Loss: 0.6153011322021484
Lr: 5.9229321998467007e-08, Accum Loss: 0.7122263312339783
Lr: 6.062295310431329e-08, Accum Loss: 0.6147471070289612
Lr: 6.201658421015957e-08, Accum Loss: 0.7960277795791626
Lr: 6.341021531600586e-08, Accum Loss: 0.7696173191070557
Lr: 6.480384642185215e-08, Accum Loss: 0.5726268589496613
Lr: 6.619747752769842e-08, Accum Loss: 0.5261355191469193
Lr: 6.75911086335447e-08, Accum Loss: 0.41317690908908844
Lr: 6.898473973939099e-08, Accum Loss: 0.619273841381073
Lr: 7.037837084523727e-08, Accum Loss: 0.6088765263557434
Lr: 7.177200195108355e-08, Accum Loss: 0.7293767333030701
Lr: 7.316563305692984e-08, Accum Loss: 0.4462619572877884
Lr: 7.455926416277611e-08, Accum Loss: 0.5430561006069183
Lr: 7.59528952686224e-08, Accum Loss: 0.39993827044963837
Lr: 7.734652637446869e-08, Accum Loss: 0.4916047155857086
Lr: 7.874015748031497e-08, Accum Loss: 0.48148147761821747
Lr: 8.013378858616125e-08, Accum Loss: 0.46781569719314575
Lr: 8.152741969200753e-08, Accum Loss: 0.43996915221214294
Lr: 8.292105079785382e-08, Accum Loss: 0.638283371925354
Lr: 8.431468190370009e-08, Accum Loss: 0.5151132792234421
Lr: 8.570831300954638e-08, Accum Loss: 0.6540583521127701
