W&B offline. Running your script from this directory will only write metadata locally. Use wandb disabled to completely turn off W&B.
instruction tuning with random sampled 50 triples, llm_froze=False
start load args ...
end load args! cost 0.0s
start import from src/ ...
end import from src! cost 113.6s
Namespace(model_name='llm', project='project_g_retriever', seed=0, dataset='ppi5k_baseline_cp', lr=1e-05, wd=0.05, patience=2, batch_size=2, grad_steps=2, num_epochs=3, warmup_epochs=1, eval_batch_size=16, llm_model_name='7b_chat', llm_model_path='', llm_frozen='False', llm_num_virtual_tokens=10, output_dir='output', max_txt_len=1900, max_new_tokens=32, max_memory=['80', '80'], gnn_model_name='gt', gnn_num_layers=4, gnn_in_dim=1024, gnn_hidden_dim=1024, gnn_num_heads=4, gnn_dropout=0.0, local_rank=-1, deepspeed_config='ds_config.json')
start load dataset...
end load dataset! cost 0.0s
end load dataset! cost 0.0s
start load model...
Loading LLAMA
Training LLAMA with LORA!
Finish loading LLAMA!
end load model! cost 46.4s
trainable params: 4194304 || all params: 6742609920 || trainable%: 0.06220594176090199
start training...
Lr: 1.411768781721492e-08, Accum Loss: 2.2612144947052
Lr: 1.429091098061633e-08, Accum Loss: 2.329955816268921
Lr: 1.446413414401774e-08, Accum Loss: 2.5583757162094116
Lr: 1.4637357307419149e-08, Accum Loss: 1.5720358490943909
Lr: 1.481058047082056e-08, Accum Loss: 1.8969456553459167
Lr: 1.4983803634221968e-08, Accum Loss: 1.8127359747886658
Lr: 1.515702679762338e-08, Accum Loss: 1.4950329661369324
Lr: 1.5330249961024787e-08, Accum Loss: 1.571586549282074
Lr: 1.55034731244262e-08, Accum Loss: 1.6065143942832947
Lr: 1.567669628782761e-08, Accum Loss: 1.9776167273521423
Lr: 1.584991945122902e-08, Accum Loss: 2.942298650741577
Lr: 1.602314261463043e-08, Accum Loss: 1.8031178712844849
Lr: 1.619636577803184e-08, Accum Loss: 1.9454216957092285
Lr: 1.6369588941433252e-08, Accum Loss: 1.7995431423187256
Lr: 1.6542812104834658e-08, Accum Loss: 3.4846270084381104
Lr: 1.671603526823607e-08, Accum Loss: 2.870358943939209
Lr: 1.688925843163748e-08, Accum Loss: 2.2169453501701355
Lr: 1.706248159503889e-08, Accum Loss: 1.760853111743927
Lr: 1.72357047584403e-08, Accum Loss: 1.537728726863861
Lr: 1.740892792184171e-08, Accum Loss: 1.5201881527900696
Lr: 1.7582151085243123e-08, Accum Loss: 1.5144397020339966
Lr: 1.775537424864453e-08, Accum Loss: 2.3141380548477173
Lr: 1.7928597412045942e-08, Accum Loss: 2.3154624104499817
Lr: 1.810182057544735e-08, Accum Loss: 2.135664463043213
Lr: 1.827504373884876e-08, Accum Loss: 2.0153844952583313
Lr: 1.844826690225017e-08, Accum Loss: 1.9317429065704346
Lr: 1.862149006565158e-08, Accum Loss: 2.605003297328949
Lr: 1.879471322905299e-08, Accum Loss: 2.4929279685020447
Lr: 1.89679363924544e-08, Accum Loss: 2.440822720527649
Lr: 1.914115955585581e-08, Accum Loss: 1.6567095518112183
Lr: 1.931438271925722e-08, Accum Loss: 2.668179154396057
Lr: 1.9487605882658632e-08, Accum Loss: 2.3932257890701294
Lr: 1.9660829046060042e-08, Accum Loss: 2.6892791986465454
Lr: 1.9834052209461448e-08, Accum Loss: 2.280167520046234
Lr: 2.000727537286286e-08, Accum Loss: 2.1129701137542725
Lr: 2.018049853626427e-08, Accum Loss: 2.2749966382980347
Lr: 2.035372169966568e-08, Accum Loss: 1.4805802702903748
Lr: 2.052694486306709e-08, Accum Loss: 2.901870906352997
Lr: 2.0700168026468503e-08, Accum Loss: 1.4207000136375427
Lr: 2.0873391189869913e-08, Accum Loss: 2.645389199256897
Lr: 2.104661435327132e-08, Accum Loss: 2.7896554470062256
Lr: 2.1219837516672732e-08, Accum Loss: 1.4571086168289185
Lr: 2.1393060680074142e-08, Accum Loss: 1.3822157382965088
Lr: 2.156628384347555e-08, Accum Loss: 1.7808253169059753
Lr: 2.173950700687696e-08, Accum Loss: 1.9706048369407654
Lr: 2.1912730170278374e-08, Accum Loss: 1.912083387374878
Lr: 2.208595333367978e-08, Accum Loss: 2.3127589225769043
Lr: 2.225917649708119e-08, Accum Loss: 2.6875239610671997
Lr: 2.24323996604826e-08, Accum Loss: 2.048303008079529
Lr: 2.2605622823884013e-08, Accum Loss: 2.400668740272522
Lr: 2.2778845987285422e-08, Accum Loss: 2.427888870239258
Lr: 2.2952069150686832e-08, Accum Loss: 2.536721348762512
Lr: 2.3125292314088245e-08, Accum Loss: 1.685584545135498
Lr: 2.329851547748965e-08, Accum Loss: 2.0810449719429016
Lr: 2.347173864089106e-08, Accum Loss: 2.2077088356018066
Lr: 2.364496180429247e-08, Accum Loss: 1.7690891027450562
Lr: 2.3818184967693883e-08, Accum Loss: 2.329670250415802
Lr: 2.3991408131095293e-08, Accum Loss: 2.553203582763672
Lr: 2.4164631294496703e-08, Accum Loss: 2.46378493309021
Lr: 2.433785445789811e-08, Accum Loss: 2.9025256633758545
Lr: 2.4511077621299522e-08, Accum Loss: 2.1546847820281982
Lr: 2.4684300784700932e-08, Accum Loss: 1.5578094124794006
Lr: 2.485752394810234e-08, Accum Loss: 1.8468215465545654
Lr: 2.5030747111503754e-08, Accum Loss: 1.9094777703285217
Lr: 2.5203970274905164e-08, Accum Loss: 2.4691991806030273
Lr: 2.5377193438306574e-08, Accum Loss: 1.9836363792419434
Lr: 2.555041660170798e-08, Accum Loss: 2.1157796382904053
Lr: 2.5723639765109393e-08, Accum Loss: 1.4103094935417175
Lr: 2.5896862928510803e-08, Accum Loss: 2.0303701162338257
Lr: 2.6070086091912212e-08, Accum Loss: 1.9698672890663147
Lr: 2.6243309255313622e-08, Accum Loss: 2.3107681274414062
Lr: 2.6416532418715035e-08, Accum Loss: 2.37608540058136
Lr: 2.658975558211644e-08, Accum Loss: 1.6590783596038818
Lr: 2.676297874551785e-08, Accum Loss: 2.9072084426879883
Lr: 2.6936201908919264e-08, Accum Loss: 1.4031031727790833
Lr: 2.7109425072320673e-08, Accum Loss: 2.7807304859161377
Lr: 2.7282648235722083e-08, Accum Loss: 2.1569629907608032
Lr: 2.7455871399123493e-08, Accum Loss: 2.0863869190216064
Lr: 2.7629094562524906e-08, Accum Loss: 2.2220122814178467
Lr: 2.7802317725926312e-08, Accum Loss: 2.7371212244033813
Lr: 2.7975540889327722e-08, Accum Loss: 2.216864228248596
Lr: 2.814876405272913e-08, Accum Loss: 2.664334714412689
Lr: 2.8321987216130544e-08, Accum Loss: 2.1959704756736755
Lr: 2.8495210379531954e-08, Accum Loss: 2.1375107169151306
Lr: 2.8668433542933364e-08, Accum Loss: 1.6113162636756897
Lr: 2.8841656706334777e-08, Accum Loss: 3.6701176166534424
Lr: 2.9014879869736183e-08, Accum Loss: 1.6204558610916138
Lr: 2.9188103033137593e-08, Accum Loss: 1.4055135250091553
Lr: 2.9361326196539002e-08, Accum Loss: 2.2258743047714233
Lr: 2.9534549359940415e-08, Accum Loss: 2.441628396511078
Lr: 2.9707772523341825e-08, Accum Loss: 2.1897047758102417
Lr: 2.9880995686743235e-08, Accum Loss: 2.157037138938904
Lr: 3.0054218850144644e-08, Accum Loss: 2.727075695991516
Lr: 3.0227442013546054e-08, Accum Loss: 1.6792073845863342
Lr: 3.0400665176947464e-08, Accum Loss: 2.1861807703971863
Lr: 3.057388834034887e-08, Accum Loss: 2.0153666138648987
Lr: 3.074711150375028e-08, Accum Loss: 2.5362221002578735
Lr: 3.092033466715169e-08, Accum Loss: 1.9557899236679077
Lr: 3.10935578305531e-08, Accum Loss: 2.4731415510177612
Lr: 3.126678099395451e-08, Accum Loss: 2.1080886721611023
Lr: 3.144000415735593e-08, Accum Loss: 1.8910587430000305
Lr: 3.161322732075734e-08, Accum Loss: 1.6364946961402893
Lr: 3.178645048415874e-08, Accum Loss: 1.9462087750434875
Lr: 3.195967364756015e-08, Accum Loss: 3.122276782989502
Lr: 3.2132896810961567e-08, Accum Loss: 2.0230655670166016
Lr: 3.2306119974362976e-08, Accum Loss: 1.9889286160469055
Lr: 3.2479343137764386e-08, Accum Loss: 2.073091685771942
Lr: 3.2652566301165796e-08, Accum Loss: 1.7338608503341675
Lr: 3.2825789464567205e-08, Accum Loss: 2.821333944797516
Lr: 3.2999012627968615e-08, Accum Loss: 1.7570655941963196
Lr: 3.3172235791370025e-08, Accum Loss: 2.400633454322815
Lr: 3.3345458954771434e-08, Accum Loss: 1.4888212084770203
Lr: 3.3518682118172844e-08, Accum Loss: 2.0743199586868286
Lr: 3.3691905281574254e-08, Accum Loss: 2.85355007648468
Lr: 3.386512844497566e-08, Accum Loss: 2.025925099849701
Lr: 3.403835160837707e-08, Accum Loss: 1.355196475982666
Lr: 3.421157477177848e-08, Accum Loss: 2.4564132690429688
Lr: 3.438479793517989e-08, Accum Loss: 1.9017314910888672
Lr: 3.455802109858131e-08, Accum Loss: 2.339386820793152
Lr: 3.473124426198272e-08, Accum Loss: 2.7138874530792236
Lr: 3.490446742538413e-08, Accum Loss: 3.1017696857452393
Lr: 3.507769058878553e-08, Accum Loss: 2.284063935279846
Lr: 3.525091375218695e-08, Accum Loss: 2.6287290453910828
Lr: 3.5424136915588357e-08, Accum Loss: 1.9543850421905518
Lr: 3.5597360078989766e-08, Accum Loss: 2.513599455356598
Lr: 3.5770583242391176e-08, Accum Loss: 2.318698465824127
Lr: 3.5943806405792586e-08, Accum Loss: 2.6062570810317993
Lr: 3.6117029569193995e-08, Accum Loss: 1.9150395393371582
Lr: 3.6290252732595405e-08, Accum Loss: 2.2897539734840393
Lr: 3.6463475895996815e-08, Accum Loss: 1.95676851272583
Lr: 3.6636699059398224e-08, Accum Loss: 2.5860053300857544
Lr: 3.6809922222799634e-08, Accum Loss: 1.9072527885437012
Lr: 3.6983145386201044e-08, Accum Loss: 2.5368740558624268
Lr: 3.715636854960246e-08, Accum Loss: 2.291090667247772
Lr: 3.732959171300386e-08, Accum Loss: 1.755704402923584
Lr: 3.750281487640527e-08, Accum Loss: 1.121829867362976
Lr: 3.767603803980669e-08, Accum Loss: 1.4441653490066528
Lr: 3.78492612032081e-08, Accum Loss: 1.6641177535057068
Lr: 3.802248436660951e-08, Accum Loss: 1.6086087226867676
Lr: 3.819570753001092e-08, Accum Loss: 2.2430925965309143
Lr: 3.836893069341233e-08, Accum Loss: 2.5471503734588623
Lr: 3.854215385681374e-08, Accum Loss: 1.8928189873695374
Lr: 3.871537702021515e-08, Accum Loss: 2.418154239654541
Lr: 3.8888600183616556e-08, Accum Loss: 2.8997550010681152
Lr: 3.9061823347017966e-08, Accum Loss: 1.6762648820877075
Lr: 3.923504651041937e-08, Accum Loss: 1.6619969010353088
Lr: 3.940826967382079e-08, Accum Loss: 1.999537706375122
Lr: 3.95814928372222e-08, Accum Loss: 2.2849952578544617
Lr: 3.9754716000623605e-08, Accum Loss: 1.9279606342315674
Lr: 3.9927939164025014e-08, Accum Loss: 1.6013543009757996
Lr: 4.0101162327426424e-08, Accum Loss: 2.580770492553711
Lr: 4.0274385490827834e-08, Accum Loss: 1.9371269941329956
Lr: 4.044760865422924e-08, Accum Loss: 1.7766422629356384
Lr: 4.062083181763066e-08, Accum Loss: 2.211478114128113
Lr: 4.079405498103207e-08, Accum Loss: 2.0012521147727966
Lr: 4.096727814443348e-08, Accum Loss: 2.5876643657684326
Lr: 4.114050130783489e-08, Accum Loss: 2.233819603919983
Lr: 4.13137244712363e-08, Accum Loss: 1.5058069825172424
Lr: 4.148694763463771e-08, Accum Loss: 2.5501776933670044
Lr: 4.166017079803911e-08, Accum Loss: 2.5026838779449463
Lr: 4.1833393961440534e-08, Accum Loss: 1.7748016715049744
Lr: 4.2006617124841943e-08, Accum Loss: 2.4710326194763184
Lr: 4.2179840288243346e-08, Accum Loss: 2.0009645223617554
Lr: 4.2353063451644756e-08, Accum Loss: 1.954809844493866
Lr: 4.2526286615046166e-08, Accum Loss: 2.5116710662841797
Lr: 4.2699509778447575e-08, Accum Loss: 2.561923027038574
Lr: 4.2872732941848985e-08, Accum Loss: 1.432642936706543
Lr: 4.3045956105250395e-08, Accum Loss: 2.0593624114990234
Lr: 4.321917926865181e-08, Accum Loss: 1.6020743250846863
Lr: 4.339240243205322e-08, Accum Loss: 2.6353763341903687
Lr: 4.356562559545463e-08, Accum Loss: 2.2386006116867065
Lr: 4.373884875885604e-08, Accum Loss: 1.7925829887390137
Lr: 4.391207192225745e-08, Accum Loss: 1.841600477695465
Lr: 4.408529508565885e-08, Accum Loss: 1.9453208446502686
Lr: 4.425851824906026e-08, Accum Loss: 2.309221029281616
Lr: 4.443174141246168e-08, Accum Loss: 2.5282102823257446
Lr: 4.460496457586309e-08, Accum Loss: 2.161443293094635
Lr: 4.47781877392645e-08, Accum Loss: 1.8560909032821655
Lr: 4.495141090266591e-08, Accum Loss: 2.4114561676979065
Lr: 4.512463406606732e-08, Accum Loss: 2.9470115900039673
Lr: 4.529785722946873e-08, Accum Loss: 1.7853545546531677
Lr: 4.5471080392870136e-08, Accum Loss: 2.2267523407936096
Lr: 4.564430355627155e-08, Accum Loss: 2.197502851486206
Lr: 4.581752671967296e-08, Accum Loss: 1.7384427785873413
Lr: 4.599074988307437e-08, Accum Loss: 2.263744533061981
Lr: 4.616397304647578e-08, Accum Loss: 2.4728894233703613
Lr: 4.6337196209877185e-08, Accum Loss: 1.8396188020706177
Lr: 4.6510419373278594e-08, Accum Loss: 1.8903061747550964
Lr: 4.6683642536680004e-08, Accum Loss: 2.5897053480148315
Lr: 4.685686570008142e-08, Accum Loss: 2.0537251830101013
Lr: 4.703008886348283e-08, Accum Loss: 3.0034254789352417
Lr: 4.720331202688424e-08, Accum Loss: 1.3301475644111633
Lr: 4.737653519028565e-08, Accum Loss: 1.4781996607780457
Lr: 4.754975835368706e-08, Accum Loss: 1.457749366760254
Lr: 4.772298151708847e-08, Accum Loss: 2.3796369433403015
Lr: 4.789620468048988e-08, Accum Loss: 1.790083110332489
Lr: 4.806942784389129e-08, Accum Loss: 2.1024109721183777
Lr: 4.8242651007292704e-08, Accum Loss: 2.536991059780121
Lr: 4.8415874170694114e-08, Accum Loss: 2.4081300497055054
Lr: 4.8589097334095523e-08, Accum Loss: 1.8067811131477356
Lr: 4.8762320497496926e-08, Accum Loss: 2.612549662590027
Lr: 4.8935543660898336e-08, Accum Loss: 2.8180441856384277
Lr: 4.9108766824299746e-08, Accum Loss: 1.7101291418075562
Lr: 4.9281989987701155e-08, Accum Loss: 2.4221982955932617
Lr: 4.945521315110257e-08, Accum Loss: 2.4214699268341064
Lr: 4.962843631450398e-08, Accum Loss: 2.2116103172302246
Lr: 4.980165947790539e-08, Accum Loss: 1.8177257776260376
Lr: 4.99748826413068e-08, Accum Loss: 1.8700138330459595
Lr: 5.014810580470821e-08, Accum Loss: 2.560118317604065
Lr: 5.032132896810962e-08, Accum Loss: 2.344025492668152
Lr: 5.049455213151103e-08, Accum Loss: 2.1334158778190613
Lr: 5.0667775294912446e-08, Accum Loss: 1.9215261340141296
Lr: 5.0840998458313855e-08, Accum Loss: 2.691809058189392
Lr: 5.101422162171526e-08, Accum Loss: 1.7563488483428955
Lr: 5.118744478511667e-08, Accum Loss: 1.9441845417022705
Lr: 5.136066794851808e-08, Accum Loss: 1.9232078194618225
Lr: 5.153389111191949e-08, Accum Loss: 1.700416922569275
Lr: 5.17071142753209e-08, Accum Loss: 1.4712103009223938
Lr: 5.188033743872231e-08, Accum Loss: 2.4309998750686646
