2025-11-21 11:53:18,080 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: partial_history
2025-11-21 11:53:21,800 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:53:21,800 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:53:25,541 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: partial_history
2025-11-21 11:53:26,801 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:53:26,801 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:53:31,802 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:53:31,802 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:53:33,389 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: partial_history
2025-11-21 11:53:36,802 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:53:36,802 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:53:40,637 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: partial_history
2025-11-21 11:53:41,803 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:53:41,803 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:53:46,804 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:53:46,804 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:53:48,657 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: partial_history
2025-11-21 11:53:51,805 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:53:51,805 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:53:54,990 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: partial_history
2025-11-21 11:53:56,805 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:53:56,806 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:54:00,107 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: partial_history
2025-11-21 11:54:01,810 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:54:01,810 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:54:06,810 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:54:06,811 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:54:07,604 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: partial_history
2025-11-21 11:54:07,657 DEBUG   SystemMonitor:3518450 [system_monitor.py:_start():159] Starting system metrics aggregation loop
2025-11-21 11:54:11,811 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:54:11,811 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:54:15,378 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: partial_history
2025-11-21 11:54:16,812 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:54:16,812 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:54:21,812 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:54:21,813 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
2025-11-21 11:54:22,957 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: partial_history
2025-11-21 11:54:26,813 DEBUG   HandlerThread:3518450 [handler.py:handle_request():144] handle_request: status_report
2025-11-21 11:54:26,813 DEBUG   SenderThread:3518450 [sender.py:send_request():396] send_request: status_report
